"Brand","Model","fueltype","doornumber","carbody","drivewheel","wheelbase","carlength","carwidth","curbweight","cylindernumber","enginesize","boreratio","horsepower","price"
"alfa","giulia","gas",2,"convertible","rwd",88.6,168.8,64.1,2548,4,130,3.47,111,13495
"alfa","stelvio","gas",2,"convertible","rwd",88.6,168.8,64.1,2548,4,130,3.47,111,16500
"alfa","quadrifoglio","gas",2,"hatchback","rwd",94.5,171.2,65.5,2823,6,152,2.68,154,16500
"audi","100","gas",4,"sedan","fwd",99.8,176.6,66.2,2337,4,109,3.19,102,13950
"audi","100ls","gas",4,"sedan","4wd",99.4,176.6,66.4,2824,5,136,3.19,115,17450
"audi","fox","gas",2,"sedan","fwd",99.8,177.3,66.3,2507,5,136,3.19,110,15250
"audi","100ls","gas",4,"sedan","fwd",105.8,192.7,71.4,2844,5,136,3.19,110,17710
"audi","5000","gas",4,"wagon","fwd",105.8,192.7,71.4,2954,5,136,3.19,110,18920
"audi","4000","gas",4,"sedan","fwd",105.8,192.7,71.4,3086,5,131,3.13,140,23875
"audi","5000s","gas",2,"hatchback","4wd",99.5,178.2,67.9,3053,5,131,3.13,160,17859.167
"bmw","320i","gas",2,"sedan","rwd",101.2,176.8,64.8,2395,4,108,3.5,101,16430
"bmw","320i","gas",4,"sedan","rwd",101.2,176.8,64.8,2395,4,108,3.5,101,16925
"bmw","x1","gas",2,"sedan","rwd",101.2,176.8,64.8,2710,6,164,3.31,121,20970
"bmw","x3","gas",4,"sedan","rwd",101.2,176.8,64.8,2765,6,164,3.31,121,21105
"bmw","z4","gas",4,"sedan","rwd",103.5,189,66.9,3055,6,164,3.31,121,24565
"bmw","x4","gas",4,"sedan","rwd",103.5,189,66.9,3230,6,209,3.62,182,30760
"bmw","x5","gas",2,"sedan","rwd",103.5,193.8,67.9,3380,6,209,3.62,182,41315
"bmw","x3","gas",4,"sedan","rwd",110,197,70.9,3505,6,209,3.62,182,36880
"chevrolet","impala","gas",2,"hatchback","fwd",88.4,141.1,60.3,1488,3,61,2.91,48,5151
"chevrolet","monte","gas",2,"hatchback","fwd",94.5,155.9,63.6,1874,4,90,3.03,70,6295
"chevrolet","vega","gas",4,"sedan","fwd",94.5,158.8,63.6,1909,4,90,3.03,70,6575
"dodge","rampage","gas",2,"hatchback","fwd",93.7,157.3,63.8,1876,4,90,2.97,68,5572
"dodge","challenger","gas",2,"hatchback","fwd",93.7,157.3,63.8,1876,4,90,2.97,68,6377
"dodge","d200","gas",2,"hatchback","fwd",93.7,157.3,63.8,2128,4,98,3.03,102,7957
"dodge","monaco","gas",4,"hatchback","fwd",93.7,157.3,63.8,1967,4,90,2.97,68,6229
"dodge","colt","gas",4,"sedan","fwd",93.7,157.3,63.8,1989,4,90,2.97,68,6692
"dodge","colt","gas",4,"sedan","fwd",93.7,157.3,63.8,1989,4,90,2.97,68,7609
"dodge","coronet","gas",2,"sedan","fwd",93.7,157.3,63.8,2191,4,98,3.03,102,8558
"dodge","dart","gas",4,"wagon","fwd",103.3,174.6,64.6,2535,4,122,3.34,88,8921
"dodge","coronet","gas",2,"hatchback","fwd",95.9,173.2,66.3,2811,4,156,3.6,145,12964
"honda","civic","gas",2,"hatchback","fwd",86.6,144.6,63.9,1713,4,92,2.91,58,6479
"honda","civic","gas",2,"hatchback","fwd",86.6,144.6,63.9,1819,4,92,2.91,76,6855
"honda","civic","gas",2,"hatchback","fwd",93.7,150,64,1837,4,79,2.91,60,5399
"honda","accord","gas",2,"hatchback","fwd",93.7,150,64,1940,4,92,2.91,76,6529
"honda","civic","gas",2,"hatchback","fwd",93.7,150,64,1956,4,92,2.91,76,7129
"honda","accord","gas",4,"sedan","fwd",96.5,163.4,64,2010,4,92,2.91,76,7295
"honda","civic","gas",4,"wagon","fwd",96.5,157.1,63.9,2024,4,92,2.92,76,7295
"honda","accord","gas",2,"hatchback","fwd",96.5,167.5,65.2,2236,4,110,3.15,86,7895
"honda","civic","gas",2,"hatchback","fwd",96.5,167.5,65.2,2289,4,110,3.15,86,9095
"honda","prelude","gas",4,"sedan","fwd",96.5,175.4,65.2,2304,4,110,3.15,86,8845
"honda","accord","gas",4,"sedan","fwd",96.5,175.4,62.5,2372,4,110,3.15,86,10295
"honda","civic","gas",4,"sedan","fwd",96.5,175.4,65.2,2465,4,110,3.15,101,12945
"honda","civic","gas",2,"sedan","fwd",96.5,169.1,66,2293,4,110,3.15,100,10345
"isuzu","MU","gas",4,"sedan","rwd",94.3,170.7,61.8,2337,4,111,3.31,78,6785
"isuzu","D","gas",2,"sedan","fwd",94.5,155.9,63.6,1874,4,90,3.03,70,8916.5
"isuzu","D","gas",4,"sedan","fwd",94.5,155.9,63.6,1909,4,90,3.03,70,8916.5
"isuzu","D","gas",2,"hatchback","rwd",96,172.6,65.2,2734,4,119,3.43,90,11048
"jaguar","xj","gas",4,"sedan","rwd",113,199.6,69.6,4066,6,258,3.63,176,32250
"jaguar","xf","gas",4,"sedan","rwd",113,199.6,69.6,4066,6,258,3.63,176,35550
"jaguar","xk","gas",2,"sedan","rwd",102,191.7,70.6,3950,12,326,3.54,262,36000
"mazda","rx3","gas",2,"hatchback","fwd",93.1,159.1,64.2,1890,4,91,3.03,68,5195
"mazda","glc","gas",2,"hatchback","fwd",93.1,159.1,64.2,1900,4,91,3.03,68,6095
"mazda","rx2","gas",2,"hatchback","fwd",93.1,159.1,64.2,1905,4,91,3.03,68,6795
"mazda","rx","gas",4,"sedan","fwd",93.1,166.8,64.2,1945,4,91,3.03,68,6695
"mazda","glc","gas",4,"sedan","fwd",93.1,166.8,64.2,1950,4,91,3.08,68,7395
"mazda","626","gas",2,"hatchback","rwd",95.3,169,65.7,2380,2,70,3.33,101,10945
"mazda","glc","gas",2,"hatchback","rwd",95.3,169,65.7,2380,2,70,3.33,101,11845
"mazda","rx","gas",2,"hatchback","rwd",95.3,169,65.7,2385,2,70,3.33,101,13645
"mazda","glc","gas",2,"hatchback","rwd",95.3,169,65.7,2500,2,80,3.33,135,15645
"mazda","626","gas",2,"hatchback","fwd",98.8,177.8,66.5,2385,4,122,3.39,84,8845
"mazda","glc","gas",4,"sedan","fwd",98.8,177.8,66.5,2410,4,122,3.39,84,8495
"mazda","glc","gas",2,"hatchback","fwd",98.8,177.8,66.5,2385,4,122,3.39,84,10595
"mazda","rx","gas",4,"sedan","fwd",98.8,177.8,66.5,2410,4,122,3.39,84,10245
"mazda","glc","diesel",4,"sedan","fwd",98.8,177.8,66.5,2443,4,122,3.39,64,10795
"mazda","626","gas",4,"hatchback","fwd",98.8,177.8,66.5,2425,4,122,3.39,84,11245
"mazda","glc","gas",4,"sedan","rwd",104.9,175,66.1,2670,4,140,3.76,120,18280
"mazda","rx","diesel",4,"sedan","rwd",104.9,175,66.1,2700,4,134,3.43,72,18344
"buick","electra","diesel",4,"sedan","rwd",110,190.9,70.3,3515,5,183,3.58,123,25552
"buick","century","diesel",4,"wagon","rwd",110,190.9,70.3,3750,5,183,3.58,123,28248
"buick","century","diesel",2,"hardtop","rwd",106.7,187.5,70.3,3495,5,183,3.58,123,28176
"buick","skyhawk","diesel",4,"sedan","rwd",115.6,202.6,71.7,3770,5,183,3.58,123,31600
"buick","opel","gas",4,"sedan","rwd",115.6,202.6,71.7,3740,8,234,3.46,155,34184
"buick","skylark","gas",2,"convertible","rwd",96.6,180.3,70.5,3685,8,234,3.46,155,35056
"buick","century","gas",4,"sedan","rwd",120.9,208.1,71.7,3900,8,308,3.8,184,40960
"buick","regal","gas",2,"hardtop","rwd",112,199.2,72,3715,8,304,3.8,184,45400
"mercury","cougar","gas",2,"hatchback","rwd",102.7,178.4,68,2910,4,140,3.78,175,16503
"mitsubishi","mirage","gas",2,"hatchback","fwd",93.7,157.3,64.4,1918,4,92,2.97,68,5389
"mitsubishi","lancer","gas",2,"hatchback","fwd",93.7,157.3,64.4,1944,4,92,2.97,68,6189
"mitsubishi","outlander","gas",2,"hatchback","fwd",93.7,157.3,64.4,2004,4,92,2.97,68,6669
"mitsubishi","g4","gas",2,"hatchback","fwd",93,157.3,63.8,2145,4,98,3.03,102,7689
"mitsubishi","mirage","gas",2,"hatchback","fwd",96.3,173,65.4,2370,4,110,3.17,116,9959
"mitsubishi","g4","gas",2,"hatchback","fwd",96.3,173,65.4,2328,4,122,3.35,88,8499
"mitsubishi","outlander","gas",2,"hatchback","fwd",95.9,173.2,66.3,2833,4,156,3.58,145,12629
"mitsubishi","g4","gas",2,"hatchback","fwd",95.9,173.2,66.3,2921,4,156,3.59,145,14869
"mitsubishi","mirage","gas",2,"hatchback","fwd",95.9,173.2,66.3,2926,4,156,3.59,145,14489
"mitsubishi","montero","gas",4,"sedan","fwd",96.3,172.4,65.4,2365,4,122,3.35,88,6989
"mitsubishi","pajero","gas",4,"sedan","fwd",96.3,172.4,65.4,2405,4,122,3.35,88,8189
"mitsubishi","outlander","gas",4,"sedan","fwd",96.3,172.4,65.4,2403,4,110,3.17,116,9279
"mitsubishi","mirage","gas",4,"sedan","fwd",96.3,172.4,65.4,2403,4,110,3.17,116,9279
"nissan","versa","gas",2,"sedan","fwd",94.5,165.3,63.8,1889,4,97,3.15,69,5499
"nissan","gt","diesel",2,"sedan","fwd",94.5,165.3,63.8,2017,4,103,2.99,55,7099
"nissan","rogue","gas",2,"sedan","fwd",94.5,165.3,63.8,1918,4,97,3.15,69,6649
"nissan","latio","gas",4,"sedan","fwd",94.5,165.3,63.8,1938,4,97,3.15,69,6849
"nissan","titan","gas",4,"wagon","fwd",94.5,170.2,63.8,2024,4,97,3.15,69,7349
"nissan","leaf","gas",2,"sedan","fwd",94.5,165.3,63.8,1951,4,97,3.15,69,7299
"nissan","juke","gas",2,"hatchback","fwd",94.5,165.6,63.8,2028,4,97,3.15,69,7799
"nissan","latio","gas",4,"sedan","fwd",94.5,165.3,63.8,1971,4,97,3.15,69,7499
"nissan","note","gas",4,"wagon","fwd",94.5,170.2,63.8,2037,4,97,3.15,69,7999
"nissan","clipper","gas",2,"hardtop","fwd",95.1,162.4,63.8,2008,4,97,3.15,69,8249
"nissan","rogue","gas",4,"hatchback","fwd",97.2,173.4,65.2,2324,4,120,3.33,97,8949
"nissan","nv200","gas",4,"sedan","fwd",97.2,173.4,65.2,2302,4,120,3.33,97,9549
"nissan","dayz","gas",4,"sedan","fwd",100.4,181.7,66.5,3095,6,181,3.43,152,13499
"nissan","fuga","gas",4,"wagon","fwd",100.4,184.6,66.5,3296,6,181,3.43,152,14399
"nissan","otti","gas",4,"sedan","fwd",100.4,184.6,66.5,3060,6,181,3.43,152,13499
"nissan","teana","gas",2,"hatchback","rwd",91.3,170.7,67.9,3071,6,181,3.43,160,17199
"nissan","kicks","gas",2,"hatchback","rwd",91.3,170.7,67.9,3139,6,181,3.43,200,19699
"nissan","clipper","gas",2,"hatchback","rwd",99.2,178.5,67.9,3139,6,181,3.43,160,18399
"peugeot","504","gas",4,"sedan","rwd",107.9,186.7,68.4,3020,4,120,3.46,97,11900
"peugeot","304","diesel",4,"sedan","rwd",107.9,186.7,68.4,3197,4,152,3.7,95,13200
"peugeot","504","gas",4,"wagon","rwd",114.2,198.9,68.4,3230,4,120,3.46,97,12440
"peugeot","504","diesel",4,"wagon","rwd",114.2,198.9,68.4,3430,4,152,3.7,95,13860
"peugeot","504","gas",4,"sedan","rwd",107.9,186.7,68.4,3075,4,120,3.46,95,15580
"peugeot","604sl","diesel",4,"sedan","rwd",107.9,186.7,68.4,3252,4,152,3.7,95,16900
"peugeot","504","gas",4,"wagon","rwd",114.2,198.9,68.4,3285,4,120,3.46,95,16695
"peugeot","505s","diesel",4,"wagon","rwd",114.2,198.9,68.4,3485,4,152,3.7,95,17075
"peugeot","504","gas",4,"sedan","rwd",107.9,186.7,68.4,3075,4,120,3.46,97,16630
"peugeot","504","diesel",4,"sedan","rwd",107.9,186.7,68.4,3252,4,152,3.7,95,17950
"peugeot","604sl","gas",4,"sedan","rwd",108,186.7,68.3,3130,4,134,3.61,142,18150
"plymouth","fury","gas",2,"hatchback","fwd",93.7,157.3,63.8,1918,4,90,2.97,68,5572
"plymouth","cricket","gas",2,"hatchback","fwd",93.7,157.3,63.8,2128,4,98,3.03,102,7957
"plymouth","fury","gas",4,"hatchback","fwd",93.7,157.3,63.8,1967,4,90,2.97,68,6229
"plymouth","satellite","gas",4,"sedan","fwd",93.7,167.3,63.8,1989,4,90,2.97,68,6692
"plymouth","fury","gas",4,"sedan","fwd",93.7,167.3,63.8,2191,4,98,2.97,68,7609
"plymouth","valiant","gas",4,"wagon","fwd",103.3,174.6,64.6,2535,4,122,3.35,88,8921
"plymouth","duster","gas",2,"hatchback","rwd",95.9,173.2,66.3,2818,4,156,3.59,145,12764
"porsche","macan","gas",2,"hatchback","rwd",94.5,168.9,68.3,2778,4,151,3.94,143,22018
"porsche","panamera","gas",2,"hardtop","rwd",89.5,168.9,65,2756,6,194,3.74,207,32528
"porsche","cayenne","gas",2,"hardtop","rwd",89.5,168.9,65,2756,6,194,3.74,207,34028
"porsche","boxter","gas",2,"convertible","rwd",89.5,168.9,65,2800,6,194,3.74,207,37028
"porsche","cayenne","gas",2,"hatchback","rwd",98.4,175.7,72.3,3366,8,203,3.94,288,31400.5
"renault","12tl","gas",4,"wagon","fwd",96.1,181.5,66.5,2579,4,132,3.46,90,9295
"renault","5","gas",2,"hatchback","fwd",96.1,176.8,66.6,2460,4,132,3.46,90,9895
"saab","99e","gas",2,"hatchback","fwd",99.1,186.6,66.5,2658,4,121,3.54,110,11850
"saab","99le","gas",4,"sedan","fwd",99.1,186.6,66.5,2695,4,121,3.54,110,12170
"saab","99le","gas",2,"hatchback","fwd",99.1,186.6,66.5,2707,4,121,2.54,110,15040
"saab","99gle","gas",4,"sedan","fwd",99.1,186.6,66.5,2758,4,121,3.54,110,15510
"saab","99gle","gas",2,"hatchback","fwd",99.1,186.6,66.5,2808,4,121,3.54,160,18150
"saab","99e","gas",4,"sedan","fwd",99.1,186.6,66.5,2847,4,121,3.54,160,18620
"subaru","impreza","gas",2,"hatchback","fwd",93.7,156.9,63.4,2050,4,97,3.62,69,5118
"subaru","dl","gas",2,"hatchback","fwd",93.7,157.9,63.6,2120,4,108,3.62,73,7053
"subaru","dl","gas",2,"hatchback","4wd",93.3,157.3,63.8,2240,4,108,3.62,73,7603
"subaru","impreza","gas",4,"sedan","fwd",97.2,172,65.4,2145,4,108,3.62,82,7126
"subaru","brz","gas",4,"sedan","fwd",97.2,172,65.4,2190,4,108,3.62,82,7775
"subaru","baja","gas",4,"sedan","fwd",97.2,172,65.4,2340,4,108,3.62,94,9960
"subaru","r1","gas",4,"sedan","4wd",97,172,65.4,2385,4,108,3.62,82,9233
"subaru","r2","gas",4,"sedan","4wd",97,172,65.4,2510,4,108,3.62,111,11259
"subaru","trezia","gas",4,"wagon","fwd",97,173.5,65.4,2290,4,108,3.62,82,7463
"subaru","tribeca","gas",4,"wagon","fwd",97,173.5,65.4,2455,4,108,3.62,94,10198
"subaru","dl","gas",4,"wagon","4wd",96.9,173.6,65.4,2420,4,108,3.62,82,8013
"subaru","dl","gas",4,"wagon","4wd",96.9,173.6,65.4,2650,4,108,3.62,111,11694
"toyota","corona","gas",2,"hatchback","fwd",95.7,158.7,63.6,1985,4,92,3.05,62,5348
"toyota","corona","gas",2,"hatchback","fwd",95.7,158.7,63.6,2040,4,92,3.05,62,6338
"toyota","corolla","gas",4,"hatchback","fwd",95.7,158.7,63.6,2015,4,92,3.05,62,6488
"toyota","corona","gas",4,"wagon","fwd",95.7,169.7,63.6,2280,4,92,3.05,62,6918
"toyota","corolla","gas",4,"wagon","4wd",95.7,169.7,63.6,2290,4,92,3.05,62,7898
"toyota","carina","gas",4,"wagon","4wd",95.7,169.7,63.6,3110,4,92,3.05,62,8778
"toyota","mark","gas",4,"sedan","fwd",95.7,166.3,64.4,2081,4,98,3.19,70,6938
"toyota","corolla","gas",4,"hatchback","fwd",95.7,166.3,64.4,2109,4,98,3.19,70,7198
"toyota","corona","diesel",4,"sedan","fwd",95.7,166.3,64.4,2275,4,110,3.27,56,7898
"toyota","corolla","diesel",4,"hatchback","fwd",95.7,166.3,64.4,2275,4,110,3.27,56,7788
"toyota","corona","gas",4,"sedan","fwd",95.7,166.3,64.4,2094,4,98,3.19,70,7738
"toyota","corolla","gas",4,"hatchback","fwd",95.7,166.3,64.4,2122,4,98,3.19,70,8358
"toyota","mark","gas",4,"sedan","fwd",95.7,166.3,64.4,2140,4,98,3.19,70,9258
"toyota","corolla","gas",2,"sedan","rwd",94.5,168.7,64,2169,4,98,3.19,70,8058
"toyota","corona","gas",2,"hatchback","rwd",94.5,168.7,64,2204,4,98,3.19,70,8238
"toyota","celica","gas",2,"sedan","rwd",94.5,168.7,64,2265,4,98,3.24,112,9298
"toyota","corolla","gas",2,"hatchback","rwd",94.5,168.7,64,2300,4,98,3.24,112,9538
"toyota","corona","gas",2,"hardtop","rwd",98.4,176.2,65.6,2540,4,146,3.62,116,8449
"toyota","corolla","gas",2,"hardtop","rwd",98.4,176.2,65.6,2536,4,146,3.62,116,9639
"toyota","starlet","gas",2,"hatchback","rwd",98.4,176.2,65.6,2551,4,146,3.62,116,9989
"toyota","tercel","gas",2,"hardtop","rwd",98.4,176.2,65.6,2679,4,146,3.62,116,11199
"toyota","corolla","gas",2,"hatchback","rwd",98.4,176.2,65.6,2714,4,146,3.62,116,11549
"toyota","cressida","gas",2,"convertible","rwd",98.4,176.2,65.6,2975,4,146,3.62,116,17669
"toyota","corolla","gas",4,"sedan","fwd",102.4,175.6,66.5,2326,4,122,3.31,92,8948
"toyota","celica","diesel",4,"sedan","fwd",102.4,175.6,66.5,2480,4,110,3.27,73,10698
"toyota","corona","gas",4,"hatchback","fwd",102.4,175.6,66.5,2414,4,122,3.31,92,9988
"toyota","corolla","gas",4,"sedan","fwd",102.4,175.6,66.5,2414,4,122,3.31,92,10898
"toyota","mark","gas",4,"hatchback","fwd",102.4,175.6,66.5,2458,4,122,3.31,92,11248
"toyota","corolla","gas",2,"hatchback","rwd",102.9,183.5,67.7,2976,6,171,3.27,161,16558
"toyota","corona","gas",2,"hatchback","rwd",102.9,183.5,67.7,3016,6,171,3.27,161,15998
"toyota","starlet","gas",4,"sedan","rwd",104.5,187.8,66.5,3131,6,171,3.27,156,15690
"toyota","tercel","gas",4,"wagon","rwd",104.5,187.8,66.5,3151,6,161,3.27,156,15750
"volkswagen","rabbit","diesel",2,"sedan","fwd",97.3,171.7,65.5,2261,4,97,3.01,52,7775
"volkswagen","1131","gas",2,"sedan","fwd",97.3,171.7,65.5,2209,4,109,3.19,85,7975
"volkswagen","model","diesel",4,"sedan","fwd",97.3,171.7,65.5,2264,4,97,3.01,52,7995
"volkswagen","type","gas",4,"sedan","fwd",97.3,171.7,65.5,2212,4,109,3.19,85,8195
"volkswagen","411","gas",4,"sedan","fwd",97.3,171.7,65.5,2275,4,109,3.19,85,8495
"volkswagen","super","diesel",4,"sedan","fwd",97.3,171.7,65.5,2319,4,97,3.01,68,9495
"volkswagen","dasher","gas",4,"sedan","fwd",97.3,171.7,65.5,2300,4,109,3.19,100,9995
"volkswagen","dasher","gas",2,"convertible","fwd",94.5,159.3,64.2,2254,4,109,3.19,90,11595
"volkswagen","rabbit","gas",2,"hatchback","fwd",94.5,165.7,64,2221,4,109,3.19,90,9980
"volkswagen","rabbit","gas",4,"sedan","fwd",100.4,180.2,66.9,2661,5,136,3.19,110,13295
"volkswagen","rabbit","diesel",4,"sedan","fwd",100.4,180.2,66.9,2579,4,97,3.01,68,13845
"volkswagen","dasher","gas",4,"wagon","fwd",100.4,183.1,66.9,2563,4,109,3.19,88,12290
"volvo","145e","gas",4,"sedan","rwd",104.3,188.8,67.2,2912,4,141,3.78,114,12940
"volvo","144ea","gas",4,"wagon","rwd",104.3,188.8,67.2,3034,4,141,3.78,114,13415
"volvo","244dl","gas",4,"sedan","rwd",104.3,188.8,67.2,2935,4,141,3.78,114,15985
"volvo","245","gas",4,"wagon","rwd",104.3,188.8,67.2,3042,4,141,3.78,114,16515
"volvo","264gl","gas",4,"sedan","rwd",104.3,188.8,67.2,3045,4,130,3.62,162,18420
"volvo","diesel","gas",4,"wagon","rwd",104.3,188.8,67.2,3157,4,130,3.62,162,18950
"volvo","145e","gas",4,"sedan","rwd",109.1,188.8,68.9,2952,4,141,3.78,114,16845
"volvo","144ea","gas",4,"sedan","rwd",109.1,188.8,68.8,3049,4,141,3.78,160,19045
"volvo","244dl","gas",4,"sedan","rwd",109.1,188.8,68.9,3012,6,173,3.58,134,21485
"volvo","246","diesel",4,"sedan","rwd",109.1,188.8,68.9,3217,6,145,3.01,106,22470
"volvo","264gl","gas",4,"sedan","rwd",109.1,188.8,68.9,3062,4,141,3.78,114,22625
